pais,codigo_iso,continente,latitud,longitud,poblacion_millones,pbi_per_capita,indice_felicidad
Argentina,ARG,America,-38.4161,-63.6167,45,12000,6.1
Brazil,BRA,America,-14.235,-51.9253,214,8500,6.3
United States,USA,America,37.0902,-95.7129,331,65000,7
Canada,CAN,America,56.1304,-106.3468,38,52000,7.2
Mexico,MEX,America,23.6345,-102.5528,128,10000,6.5
Spain,ESP,Europe,40.4637,-3.7492,47,30000,6.4
France,FRA,Europe,46.2276,2.2137,67,40000,6.7
Germany,DEU,Europe,51.1657,10.4515,83,50000,7.1
Italy,ITA,Europe,41.8719,12.5674,59,35000,6.5
United Kingdom,GBR,Europe,55.3781,-3.436,67,45000,6.8
China,CHN,Asia,35.8617,104.1954,1412,12000,5.8
India,IND,Asia,20.5937,78.9629,1393,2500,4
Japan,JPN,Asia,36.2048,138.2529,125,40000,6
Australia,AUS,Oceania,-25.2744,133.7751,25,55000,7.1
South Africa,ZAF,Africa,-30.5595,22.9375,60,6000,5.1
Nigeria,NGA,Africa,9.082,8.6753,211,2000,4.5
Egypt,EGY,Africa,26.8206,30.8025,104,3500,4.2
Russia,RUS,Europe,61.524,105.3188,143,11000,5.5
Saudi Arabia,SAU,Asia,23.8859,45.0792,35,23000,6.5
South Korea,KOR,Asia,35.9078,127.7669,51,35000,5.9